PassengerId,Name,Pclass,Sex,Age,Fare,Cabin,Embarked,Survived,completeness,consistency,validity,accuracy,final_label,notes
789,"Dean, Master. Bertram Vere",3,male,1.0,20.575,,S,1,,,,,,
22,"Beesley, Mr. Lawrence",2,male,34.0,13.0,D56,S,1,,,,,,
287,"de Mulder, Mr. Theodore",3,male,30.0,9.5,,S,1,,,,,,
776,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",3,male,18.0,7.75,,S,0,,,,,,
470,"Baclini, Miss. Helene Barbara",3,female,0.75,19.2583,,C,1,,,,,,
93,"Chaffee, Mr. Herbert Fuller",1,male,46.0,61.175,E31,S,0,,,,,,
426,"Wiseman, Mr. Phillippe",3,male,,7.25,,S,0,,,,,,
597,"Leitch, Miss. Jessie Wills",2,female,,33.0,,S,1,,,,,,
419,"Matthews, Mr. William John",2,male,30.0,13.0,,S,0,,,,,,
717,"Endres, Miss. Caroline Louise",1,female,38.0,227.525,C45,C,1,,,,,,
474,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",2,female,23.0,13.7917,D,C,1,,,,,,
743,"Ryerson, Miss. Susan Parker ""Suzette""",1,female,21.0,262.375,B57 B59 B63 B66,C,1,,,,,,
40,"Nicola-Yarred, Miss. Jamila",3,female,14.0,11.2417,,C,1,,,,,,
582,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",1,female,39.0,110.8833,C68,C,1,,,,,,
355,"Yousif, Mr. Wazli",3,male,,7.225,,C,0,,,,,,
739,"Ivanoff, Mr. Kanio",3,male,,7.8958,,S,0,,,,,,
583,"Downton, Mr. William James",2,male,54.0,26.0,,S,0,,,,,,
377,"Landergren, Miss. Aurora Adelia",3,female,22.0,7.25,,S,1,,,,,,
49,"Samaan, Mr. Youssef",3,male,,21.6792,,C,0,,,,,,
865,"Gill, Mr. John William",2,male,24.0,13.0,,S,0,,,,,,
782,"Dick, Mrs. Albert Adrian (Vera Gillespie)",1,female,17.0,57.0,B20,S,1,,,,,,
284,"Dorking, Mr. Edward Arthur",3,male,19.0,8.05,,S,1,,,,,,
25,"Palsson, Miss. Torborg Danira",3,female,8.0,21.075,,S,0,,,,,,
400,"Trout, Mrs. William H (Jessie L)",2,female,28.0,12.65,,S,1,,,,,,
68,"Crease, Mr. Ernest James",3,male,19.0,8.1583,,S,0,,,,,,
36,"Holverson, Mr. Alexander Oskar",1,male,42.0,52.0,,S,0,,,,,,
886,"Rice, Mrs. William (Margaret Norton)",3,female,39.0,29.125,,Q,0,,,,,,
830,"Stone, Mrs. George Nelson (Martha Evelyn)",1,female,62.0,80.0,B28,,1,,,,,,
410,"Lefebre, Miss. Ida",3,female,,25.4667,,S,0,,,,,,
167,"Chibnall, Mrs. (Edith Martha Bowerman)",1,female,,55.0,E33,S,1,,,,,,
709,"Cleaver, Miss. Alice",1,female,22.0,151.55,,S,1,,,,,,
643,"Skoog, Miss. Margit Elizabeth",3,female,2.0,27.9,,S,0,,,,,,
870,"Johnson, Master. Harold Theodor",3,male,4.0,11.1333,,S,1,,,,,,
104,"Johansson, Mr. Gustaf Joel",3,male,33.0,8.6542,,S,0,,,,,,
634,"Parr, Mr. William Henry Marsh",1,male,,0.0,,S,0,,,,,,
114,"Jussila, Miss. Katriina",3,female,20.0,9.825,,S,0,,,,,,
3,"Heikkinen, Miss. Laina",3,female,26.0,7.925,,S,1,,,,,,
539,"Risien, Mr. Samuel Beard",3,male,,14.5,,S,0,,,,,,
65,"Stewart, Mr. Albert A",1,male,,27.7208,,C,0,,,,,,
373,"Beavan, Mr. William Thomas",3,male,19.0,8.05,,S,0,,,,,,
383,"Tikkanen, Mr. Juho",3,male,32.0,7.925,,S,0,,,,,,
139,"Osen, Mr. Olaf Elon",3,male,16.0,9.2167,,S,0,,,,,,
176,"Klasen, Mr. Klas Albin",3,male,18.0,7.8542,,S,0,,,,,,
535,"Cacic, Miss. Marija",3,female,30.0,8.6625,,S,0,,,,,,
343,"Collander, Mr. Erik Gustaf",2,male,28.0,13.0,,S,0,,,,,,
362,"del Carlo, Mr. Sebastiano",2,male,29.0,27.7208,,C,0,,,,,,
197,"Mernagh, Mr. Robert",3,male,,7.75,,Q,0,,,,,,
310,"Francatelli, Miss. Laura Mabel",1,female,30.0,56.9292,E36,C,1,,,,,,
322,"Danoff, Mr. Yoto",3,male,27.0,7.8958,,S,0,,,,,,
661,"Frauenthal, Dr. Henry William",1,male,50.0,133.65,,S,1,,,,,,
659,"Eitemiller, Mr. George Floyd",2,male,23.0,13.0,,S,0,,,,,,
308,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,female,17.0,108.9,C65,C,1,,,,,,
880,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",1,female,56.0,83.1583,C50,C,1,,,,,,
423,"Zimmerman, Mr. Leo",3,male,29.0,7.875,,S,0,,,,,,
108,"Moss, Mr. Albert Johan",3,male,,7.775,,S,1,,,,,,
625,"Bowen, Mr. David John ""Dai""",3,male,21.0,16.1,,S,0,,,,,,
813,"Slemen, Mr. Richard James",2,male,35.0,10.5,,S,0,,,,,,
758,"Bailey, Mr. Percy Andrew",2,male,18.0,11.5,,S,0,,,,,,
